epoch,box,cls,Recall,Precision,mAP@50,mAP
352,1.251,1.485,0.458,0.458,0.498,0.345
353,1.250,1.488,0.457,0.457,0.499,0.345
354,1.250,1.483,0.457,0.457,0.499,0.345
355,1.247,1.484,0.458,0.458,0.499,0.345
356,1.245,1.484,0.457,0.457,0.499,0.346
357,1.250,1.481,0.456,0.456,0.500,0.346
358,1.247,1.474,0.457,0.457,0.500,0.346
359,1.250,1.481,0.459,0.459,0.501,0.347
360,1.244,1.475,0.457,0.457,0.501,0.347
361,1.247,1.474,0.454,0.454,0.501,0.347
362,1.245,1.476,0.453,0.453,0.501,0.347
363,1.244,1.479,0.454,0.454,0.501,0.348
364,1.244,1.475,0.458,0.458,0.501,0.347
365,1.242,1.474,0.461,0.461,0.502,0.348
366,1.242,1.474,0.463,0.463,0.502,0.348
367,1.247,1.477,0.466,0.466,0.502,0.348
368,1.244,1.474,0.466,0.466,0.503,0.349
369,1.243,1.472,0.465,0.465,0.503,0.349
370,1.240,1.471,0.465,0.465,0.503,0.349
371,1.238,1.473,0.466,0.466,0.503,0.349
372,1.242,1.469,0.465,0.465,0.503,0.349
373,1.242,1.468,0.466,0.466,0.503,0.349
374,1.237,1.467,0.466,0.466,0.503,0.349
375,1.238,1.462,0.469,0.469,0.503,0.349
376,1.239,1.463,0.469,0.469,0.504,0.349
377,1.235,1.465,0.468,0.468,0.503,0.349
378,1.241,1.461,0.467,0.467,0.504,0.349
379,1.238,1.462,0.466,0.466,0.504,0.349
380,1.239,1.457,0.465,0.465,0.504,0.349
381,1.236,1.456,0.465,0.465,0.504,0.349
382,1.237,1.461,0.464,0.464,0.504,0.349
383,1.234,1.461,0.465,0.465,0.504,0.350
384,1.237,1.462,0.465,0.465,0.505,0.349
385,1.235,1.454,0.464,0.464,0.505,0.349
386,1.236,1.456,0.464,0.464,0.505,0.350
387,1.236,1.456,0.465,0.465,0.505,0.350
388,1.234,1.454,0.466,0.466,0.505,0.350
389,1.234,1.447,0.471,0.471,0.506,0.350
390,1.234,1.448,0.474,0.474,0.506,0.350
